iter	Passed	Remaining
580	1980	1428
581	1983	1424
582	1986	1420
583	1990	1418
584	1993	1414
585	1996	1410
586	1999	1406
587	2002	1403
588	2006	1399
589	2009	1396
590	2011	1392
591	2014	1388
592	2017	1384
593	2021	1381
594	2024	1377
595	2027	1374
596	2030	1370
597	2036	1368
598	2040	1366
599	2043	1362
600	2047	1359
601	2050	1355
602	2054	1352
603	2058	1349
604	2061	1346
605	2065	1342
606	2070	1340
607	2073	1337
608	2076	1333
609	2079	1329
610	2083	1326
611	2087	1323
612	2090	1319
613	2093	1316
614	2096	1312
615	2101	1310
616	2105	1306
617	2107	1302
618	2111	1299
619	2114	1296
620	2118	1292
621	2121	1289
622	2124	1285
623	2127	1282
624	2131	1278
625	2134	1275
626	2136	1271
627	2139	1267
628	2142	1263
629	2145	1260
630	2149	1256
631	2151	1253
632	2154	1249
633	2158	1246
634	2162	1242
635	2165	1239
636	2168	1235
637	2172	1232
638	2175	1229
639	2179	1226
640	2183	1222
641	2187	1219
642	2190	1216
643	2194	1213
644	2198	1209
645	2201	1206
646	2205	1203
647	2209	1200
648	2212	1196
649	2217	1193
650	2220	1190
651	2224	1187
652	2228	1184
653	2232	1180
654	2236	1177
655	2239	1174
656	2243	1171
657	2247	1168
658	2251	1164
659	2254	1161
660	2257	1158
661	2262	1155
662	2265	1151
663	2269	1148
664	2272	1144
665	2275	1141
666	2278	1137
667	2282	1134
668	2285	1130
669	2288	1127
670	2291	1123
671	2294	1119
672	2297	1116
673	2300	1112
674	2303	1109
675	2306	1105
676	2309	1101
677	2312	1098
678	2315	1094
679	2318	1091
680	2321	1087
681	2324	1083
682	2327	1080
683	2330	1076
684	2333	1072
685	2336	1069
686	2338	1065
687	2341	1061
688	2344	1058
689	2347	1054
690	2350	1051
691	2354	1047
692	2357	1044
693	2360	1040
694	2364	1037
695	2367	1033
696	2370	1030
697	2373	1026
698	2377	1023
699	2380	1020
700	2383	1016
701	2386	1013
702	2390	1009
703	2393	1006
704	2396	1002
705	2399	999
706	2402	995
707	2405	992
708	2408	988
709	2412	985
710	2415	981
711	2418	978
712	2420	974
713	2424	970
714	2427	967
715	2431	964
716	2434	960
717	2437	957
718	2440	953
719	2444	950
720	2447	947
721	2450	943
722	2454	940
723	2457	936
724	2460	933
725	2463	929
726	2467	926
727	2471	923
728	2474	919
729	2477	916
730	2480	912
731	2485	909
732	2488	906
733	2491	902
734	2494	899
735	2497	895
736	2501	892
737	2504	889
738	2508	885
739	2511	882
740	2514	878
741	2518	875
742	2521	872
743	2524	868
744	2527	865
745	2530	861
746	2534	858
747	2537	854
748	2540	851
749	2543	847
750	2548	844
751	2552	841
752	2555	838
753	2558	834
754	2565	832
755	2572	830
756	2579	828
757	2585	825
758	2592	823
759	2598	820
760	2603	817
761	2606	814
762	2611	811
763	2617	808
764	2623	805
765	2626	802
766	2630	799
767	2633	795
768	2636	792
769	2639	788
770	2642	784
771	2646	781
772	2649	778
773	2653	774
774	2656	771
775	2663	768
776	2669	766
777	2675	763
778	2679	760
779	2684	757
780	2690	754
781	2697	751
782	2701	748
783	2705	745
784	2711	742
785	2715	739
786	2718	735
787	2721	732
788	2726	729
789	2729	725
790	2732	721
791	2735	718
792	2738	714
793	2743	711
794	2746	708
795	2750	704
796	2753	701
797	2758	698
798	2763	695
799	2769	692
800	2774	689
801	2777	685
802	2780	682
803	2783	678
804	2786	674
805	2791	671
806	2794	668
807	2797	664
808	2800	661
809	2803	657
810	2807	654
811	2810	650
812	2813	647
813	2816	643
814	2820	640
815	2824	636
816	2827	633
817	2830	629
818	2833	626
819	2836	622
820	2839	619
821	2842	615
822	2847	612
823	2852	609
824	2855	605
825	2861	602
826	2865	599
827	2869	596
828	2873	592
829	2876	589
830	2880	585
831	2885	582
832	2891	579
833	2894	576
834	2897	572
835	2900	568
836	2904	565
837	2907	562
838	2910	558
839	2913	554
840	2916	551
841	2919	547
842	2923	544
843	2926	540
844	2929	537
845	2932	533
846	2936	530
847	2940	526
848	2944	523
849	2947	520
850	2950	516
851	2954	513
852	2957	509
853	2960	506
854	2963	502
855	2966	499
856	2970	495
857	2973	492
858	2975	488
859	2978	484
860	2981	481
861	2985	477
862	2988	474
863	2991	470
864	2993	467
865	2996	463
866	2999	460
867	3003	456
868	3006	453
869	3008	449
870	3011	446
871	3015	442
872	3019	439
873	3021	435
874	3024	432
875	3027	428
876	3031	425
877	3034	421
878	3037	418
879	3040	414
880	3043	411
881	3047	407
882	3051	404
883	3054	400
884	3057	397
885	3059	393
886	3063	390
887	3066	386
888	3070	383
889	3073	379
890	3075	376
891	3079	372
892	3082	369
893	3085	365
894	3088	362
895	3091	358
896	3095	355
897	3098	351
898	3101	348
899	3104	344
900	3107	341
901	3111	338
902	3114	334
903	3117	331
904	3120	327
905	3123	324
906	3126	320
907	3130	317
908	3133	313
909	3136	310
910	3139	306
911	3144	303
912	3148	300
913	3152	296
914	3156	293
915	3160	289
916	3167	286
917	3178	283
918	3186	280
919	3192	277
920	3199	274
921	3202	270
922	3205	267
923	3210	264
924	3213	260
925	3216	257
926	3219	253
927	3222	250
928	3226	246
929	3229	243
930	3232	239
931	3235	236
932	3238	232
933	3244	229
934	3248	225
935	3250	222
936	3253	218
937	3258	215
938	3262	211
939	3265	208
940	3268	204
941	3272	201
942	3276	198
943	3278	194
944	3282	191
945	3285	187
946	3288	184
947	3292	180
948	3295	177
949	3298	173
950	3301	170
951	3306	166
952	3309	163
953	3312	159
954	3315	156
955	3319	152
956	3322	149
957	3326	145
958	3328	142
959	3331	138
960	3334	135
961	3338	131
962	3341	128
963	3344	124
964	3347	121
965	3350	117
966	3354	114
967	3358	111
968	3361	107
969	3364	104
970	3369	100
971	3373	97
972	3375	93
973	3378	90
974	3381	86
975	3385	83
976	3388	79
977	3391	76
978	3395	72
979	3397	69
980	3401	65
981	3404	62
982	3407	58
983	3410	55
984	3413	51
985	3417	48
986	3420	45
987	3423	41
988	3426	38
989	3429	34
990	3432	31
991	3436	27
992	3438	24
993	3442	20
994	3444	17
995	3447	13
996	3451	10
997	3455	6
998	3457	3
999	3460	0
