iter	Logloss
641	0.2981232373
642	0.2980800587
643	0.2980096498
644	0.297951534
645	0.297873885
646	0.2977978851
647	0.2977098749
648	0.2976196656
649	0.2975492013
650	0.2973373678
651	0.2972487211
652	0.2971567027
653	0.2970836613
654	0.2970383256
655	0.296973665
656	0.2969009138
657	0.2968260951
658	0.2967539123
659	0.2967520713
660	0.2967509553
661	0.2965738575
662	0.2964951392
663	0.2964361313
664	0.2964001496
665	0.2963986789
666	0.2963103219
667	0.2962315071
668	0.2961844929
669	0.296100162
670	0.2960450782
671	0.2959099464
672	0.2958147562
673	0.2955819465
674	0.2954699125
675	0.2954685119
676	0.2953941146
677	0.2953292365
678	0.2952641895
679	0.2951777541
680	0.2950440177
681	0.2948883234
682	0.2947799553
683	0.2947198684
684	0.2946681106
685	0.2946149077
686	0.2946137013
687	0.2945524424
688	0.2944631507
689	0.2943908721
690	0.294389781
691	0.2943384176
692	0.2942124586
693	0.2941394404
694	0.2939885055
695	0.293895563
696	0.2937745931
697	0.2937191641
698	0.2935986734
699	0.2934841841
700	0.2933980232
701	0.2933412996
702	0.2932467182
703	0.2931844186
704	0.2931337506
705	0.2930115489
706	0.2929248135
707	0.2928346764
708	0.2927471677
709	0.2926780188
710	0.2926769679
711	0.2926757623
712	0.2926742618
713	0.2925553105
714	0.2924555399
715	0.2922549254
716	0.2921979854
717	0.2921282818
718	0.2920408425
719	0.2919234712
720	0.291876212
721	0.291788733
722	0.2917104952
723	0.2916511176
724	0.2915873164
725	0.2915174506
726	0.2914152598
727	0.2913705341
728	0.29132314
729	0.2912369249
730	0.2911417129
731	0.2910769121
732	0.2910759563
733	0.2910023051
734	0.2909204632
735	0.2908529682
736	0.2907753441
737	0.2907742538
738	0.290682619
739	0.2905852431
740	0.2905002862
741	0.290425448
742	0.2903746363
743	0.2903734922
744	0.2903300336
745	0.2902495486
746	0.2902485673
747	0.2901692535
748	0.2901037137
749	0.2900302978
750	0.2899603111
751	0.289872858
752	0.289808031
753	0.289727412
754	0.2896414753
755	0.2895706375
756	0.289499303
757	0.2894357541
758	0.2892545444
759	0.2892214209
760	0.2891385339
761	0.2890480344
762	0.2889384191
763	0.2888457446
764	0.2887902593
765	0.288708764
766	0.2885895369
767	0.2885210499
768	0.2884620515
769	0.2883612322
770	0.2883069757
771	0.288254207
772	0.288253193
773	0.2881714392
774	0.2880950765
775	0.2879829364
776	0.2878869835
777	0.2878059318
778	0.2877658432
779	0.2876893728
780	0.2875959954
781	0.287443664
782	0.2873737571
783	0.2873116475
784	0.2872566503
785	0.2871196997
786	0.2870755379
787	0.2869911972
788	0.286920745
789	0.2869197859
790	0.2868720957
791	0.2868198095
792	0.2867596367
793	0.2867006132
794	0.286643579
795	0.2865650427
796	0.2864533006
797	0.2863803877
798	0.286314698
799	0.2862293736
800	0.2861733977
801	0.2860882609
802	0.2859793476
803	0.2859402632
804	0.2858702307
805	0.2856870549
806	0.2856262241
807	0.2855606065
808	0.2855093183
809	0.2854191793
810	0.2853564378
811	0.2852817879
812	0.2852196437
813	0.2851248025
814	0.2850592741
815	0.2850042159
816	0.2849532856
817	0.2848707239
818	0.2847141454
819	0.2846609779
820	0.2846602173
821	0.2845948113
822	0.2844925361
823	0.2844119485
824	0.2842851923
825	0.2842128083
826	0.2841545835
827	0.2841012269
828	0.2840062233
829	0.2839452077
830	0.2838782326
831	0.2838359743
832	0.2837542267
833	0.2836715271
834	0.2836183054
835	0.2835408728
836	0.2834699063
837	0.2833862976
838	0.2833380888
839	0.2833369809
840	0.2832958309
841	0.2832915035
842	0.2831807931
843	0.2830244338
844	0.2829806439
845	0.2828959596
846	0.2827736022
847	0.2826773447
848	0.2826068248
849	0.2825518707
850	0.2824866087
851	0.2824160229
852	0.2823785556
853	0.2823054938
854	0.2822387968
855	0.2822363909
856	0.2821825894
857	0.2821818535
858	0.282181173
859	0.2821004513
860	0.2819935062
861	0.2819219582
862	0.2818794057
863	0.2817980063
864	0.2817967874
865	0.2817054117
866	0.2816307381
867	0.281467294
868	0.2814077155
869	0.2814070542
870	0.2813491221
871	0.2813038707
872	0.2812758967
873	0.2812234571
874	0.2811787732
875	0.281129836
876	0.2810655332
877	0.2810124911
878	0.28091638
879	0.2808357971
880	0.2807594808
881	0.2806579038
882	0.2806337389
883	0.2805824671
884	0.2805451328
885	0.2805411893
886	0.2804646156
887	0.2803649013
888	0.2803033616
889	0.2802289915
890	0.2801214952
891	0.2800657011
892	0.2800245586
893	0.2799188855
894	0.2799159571
895	0.2798673678
896	0.279791162
897	0.2797451744
898	0.2797106028
899	0.27963706
900	0.2795997812
901	0.2795594816
902	0.2794778263
903	0.2793970866
904	0.2792893149
905	0.2792316872
906	0.2791567829
907	0.2791058406
908	0.2790480269
909	0.2789649425
910	0.2788872833
911	0.2788008405
912	0.2787166528
913	0.2786648911
914	0.2786002912
915	0.2785436758
916	0.2784772102
917	0.2784101563
918	0.2782963095
919	0.27820684
920	0.2782032116
921	0.2781567262
922	0.2781087815
923	0.2781082111
924	0.2780562774
925	0.278018845
926	0.2780162422
927	0.2779529934
928	0.2778811059
929	0.2778143796
930	0.2777432726
931	0.2776830668
932	0.2776162494
933	0.2775257574
934	0.2774320682
935	0.2774313428
936	0.2773614679
937	0.2773231641
938	0.2772386952
939	0.2771583564
940	0.2770784753
941	0.2770285849
942	0.2769240446
943	0.2768610764
944	0.2768068469
945	0.2767465518
946	0.2766532525
947	0.2765579284
948	0.2764908005
949	0.2764027533
950	0.2763248319
951	0.2762806844
952	0.2762050007
953	0.2761438779
954	0.2760325098
955	0.2759338669
956	0.2759314043
957	0.2758793157
958	0.2758403313
959	0.2757797734
960	0.2757377892
961	0.2756646052
962	0.2756639197
963	0.2756620241
964	0.2756246461
965	0.2755268415
966	0.2753830559
967	0.2753441091
968	0.2752498591
969	0.2752491878
970	0.2751384858
971	0.2750751688
972	0.2750746235
973	0.2750391975
974	0.274979438
975	0.2749782292
976	0.2749776724
977	0.2749074768
978	0.2748046043
979	0.2748040382
980	0.2747049819
981	0.2746482563
982	0.2745694576
983	0.2744971394
984	0.274380458
985	0.2743793133
986	0.2743294759
987	0.2742601947
988	0.2741988323
989	0.274118442
990	0.2740447692
991	0.2739695374
992	0.2739208339
993	0.2738533325
994	0.2737797896
995	0.2737221634
996	0.2736505881
997	0.2735679309
998	0.2735671027
999	0.2734417028
